Mistri & Associates,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@mistriassociates.com,Email,Residential clarity + Detail articulation
Studio Yamini (Coimbatore),Coimbatore,Tamil Nadu,India,Interior,Small,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@studioyamini.in,Email,Interior detailing + Material boards
Jasubhai Engineering Consultants (Architecture Division),Ahmedabad,Gujarat,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,https://www.jasubhaigroup.com,info@jasubhaigroup.com,Careers Page,Infrastructure sheets + Technical documentation
Sthala Design Studio,Chandigarh,Chandigarh,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@sthaladesign.com,Email,Residential clarity + Section refinement
Venkataramanan Associates (Hyderabad),Hyderabad,Telangana,India,Corporate,Large,Healthcare/Institutional,Technical,Yes,Yes,https://www.venkataramanan.com,careers@venkataramanan.com,Careers Page,Healthcare campus + BIM workflow
Sankalpan Architects,Jaipur,Rajasthan,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@sankalpan.in,Email,Urban housing + Concept diagrams
Bhoomi Design Studio,Surat,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@bhoomidesign.in,Email,Residential clarity + Spatial sequencing
Urban Design Collaborative,Kochi,Kerala,India,Urban,Mid,Urban Planning,Urban+Research,Partial,Yes,Not Public,info@udc.in,Email,Urban masterplan + Analytical diagramsFirm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Architecture Autonomy,Mumbai,Maharashtra,India,Boutique,Small,Residential/Urban,Conceptual,No,Selective,Not Public,Not Public,Direct Contact,Urban housing + Concept diagrams
Ashiesh Shah Architecture,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Design-Led,No,Selective,https://www.ashieshshah.com,info@ashieshshah.com,Email,High-end residential + Material articulation
Atelier Ashiesh Shah,Mumbai,Maharashtra,India,Interior,Small,Interior/Hospitality,Interior-Focused,No,Selective,https://www.ashieshshah.com,info@ashieshshah.com,Email,Luxury interior project + Detail drawings
Atelier Birjis,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@atelierbirjis.com,Email,Residential clarity + Section refinement
Amit Khanna Design Associates,New Delhi,Delhi,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.akda.in,info@akda.in,Email,Institutional project + Concept diagrams
Arihant Architects,Jaipur,Rajasthan,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@arihantarchitects.in,Email,Commercial complex + Working drawings
Arvind Varuna Associates,New Delhi,Delhi,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@avaarchitects.com,Email,Institutional planning + Technical sheets
Architecture Discipline (Pune),Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,Not Public,Direct Contact,Spatial narrative + Detail precision
Architects Combine,New Delhi,Delhi,India,Corporate,Large,Institutional/Commercial,Technical,Yes,Yes,https://www.architectscombine.com,info@architectscombine.com,Careers Page,Large institutional campus + BIM documentation
Architectural Design Consortium,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@adcarchitects.com,Email,Commercial project + Structured sheets
Architecture Design Studio (ADS),Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@adsstudio.in,Email,Residential clarity + Section quality
Archetype Design Studio,Chennai,Tamil Nadu,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@archetypestudio.in,Email,Concept diagrams + Clean documentation
Arun Bansal Architects,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@arunbansalarchitects.com,Email,Institutional layout + Documentation clarity
ASA Design Consultants,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,Not Public,info@asadesign.in,Email,Infrastructure sheets + Technical workflow
Aum Architects (Pune),Pune,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@aumarchitects.in,Email,Residential form exploration + Section depth
Axis Design Studio,Surat,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@axisdesign.in,Email,Residential clarity + Detail articulation
B+H Architects (India),Mumbai,Maharashtra,India,Corporate,International,Commercial/Mixed-use,Technical,Yes,Yes,https://www.bharchitects.com,careers@bharchitects.com,Careers Page,Mixed-use campus + BIM workflow
Basant Jangid Architects,Jaipur,Rajasthan,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@basantjangid.com,Email,Residential clarity + Section refinement
Beyond Spaces,Indore,Madhya Pradesh,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@beyondspaces.in,Email,Interior detailing + Residential layout
Bhoomi Consultants,Ahmedabad,Gujarat,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@bhoomiconsultants.com,Email,Institutional campus + Technical sheets
Blueprint Architects,Chennai,Tamil Nadu,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@blueprintarchitects.in,Email,Commercial complex + Documentation clarity
Bobby Mukherji & Associates,Mumbai,Maharashtra,India,Interior,Large,Hospitality/Interior,Interior-Focused,Yes,Yes,https://www.bobbymukherji.com,info@bobbymukherji.com,Email,Hospitality interior + Detail drawings
Brijesh Shaikh Architect,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,Not Public,Direct Contact,Residential concept + Section quality
C&P Architects,Mumbai,Maharashtra,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@cp-architects.com,Email,Institutional planning + Working drawings
Canna Patel Studio,Ahmedabad,Gujarat,India,Interior,Small,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@cannapatel.com,Email,Interior articulation + Material boards
Chandrakant Sompura Architects,Ahmedabad,Gujarat,India,Boutique,Small,Temple/Institutional,Traditional,No,Selective,Not Public,Not Public,Direct Contact,Traditional detailing + Section precision
Charcoal Project,Mumbai,Maharashtra,India,Interior,Mid,Interior/Hospitality,Interior-Focused,No,Yes,https://www.charcoalproject.com,info@charcoalproject.com,Email,Hospitality interior + Material detailing
Chitra Vishwanath Architects,Bengaluru,Karnataka,India,Sustainable,Small,Residential,Sustainable,No,Selective,Not Public,info@biome-solutions.com,Email,Climate-responsive housing + Passive systems
Concreate Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@concreate.in,Email,Residential clarity + Clean documentation
Creative Architects & Interiors,Indore,Madhya Pradesh,India,Interior,Small,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@creativearchitects.in,Email,Interior detailing + Spatial layout
...
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Confluence Design Studio,Hyderabad,Telangana,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@confluencedesignstudio.com,Email,Residential clarity + Concept diagrams
Cube Architects,Bengaluru,Karnataka,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@cubearchitects.in,Email,Institutional campus + Technical sheets
D6thD Design Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,https://www.d6thd.com,info@d6thd.com,Email,Interior detailing + Residential clarity
Design Consortium,New Delhi,Delhi,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,https://www.designconsortium.in,info@designconsortium.in,Careers Page,Infrastructure project + BIM workflow
Design Cell,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@designcell.in,Email,Residential clarity + Section refinement
Design Forum (Ahmedabad),Ahmedabad,Gujarat,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@designforum.in,Email,Commercial complex + Documentation clarity
Design Matrix,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Interior,Technical,Yes,Yes,https://www.designmatrix.in,info@designmatrix.in,Email,Corporate interior + Working drawings
Design Square,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@designsquare.in,Email,Concept diagrams + Clean layout
Design Unit,Bengaluru,Karnataka,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@designunit.in,Email,Residential clarity + Detail articulation
Design Workshop (Chennai),Chennai,Tamil Nadu,India,Interior,Mid,Interior/Hospitality,Interior-Focused,No,Yes,Not Public,info@designworkshopchennai.com,Email,Hospitality interior + Material boards
Dhwani Design Studio,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@dhwanidesign.com,Email,Residential clarity + Section depth
Dilip Piramal Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,Not Public,Direct Contact,Spatial quality + Material detailing
Earthscape Studio,Pune,Maharashtra,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@earthscape.in,Email,Passive design + Climate diagrams
Envisage Architects,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@envisagearchitects.com,Email,Institutional layout + Documentation discipline
Evolve Architects,Jaipur,Rajasthan,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@evolvearchitects.in,Email,Urban housing + Concept diagrams
Form & Function Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@formandfunction.in,Email,Residential clarity + Section refinement
Fountainhead Architects,Mumbai,Maharashtra,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@fountainheadarchitects.com,Email,Institutional campus + Working drawings
Future Spaces,Hyderabad,Telangana,India,Interior,Small,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@futurespaces.in,Email,Interior detailing + Layout precision
GCA Architects,Mumbai,Maharashtra,India,Corporate,Large,Commercial/High-rise,Technical,Yes,Yes,Not Public,info@gcaarchitects.in,Email,High-rise project + BIM sheets
Genesis Architects,Chandigarh,Chandigarh,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@genesisarchitects.in,Email,Institutional project + Structured documentation
Habitat Architects,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@habitatarchitects.in,Email,Residential clarity + Detail articulation
Habitat Technology Group,Thiruvananthapuram,Kerala,India,Sustainable,Mid,Institutional/Sustainable,Environmental,Partial,Yes,Not Public,info@habitattechnologygroup.in,Email,Sustainable campus + Climate response diagrams
Icon Design Studio,Mumbai,Maharashtra,India,Interior,Small,Interior/Hospitality,Interior-Focused,No,Yes,Not Public,info@icondesignstudio.in,Email,Hospitality interior + Material detailing
Indesign Architects,Bengaluru,Karnataka,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@indesignarchitects.in,Email,Concept diagrams + Residential clarity
J Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@jarchitects.in,Email,Residential layout + Section refinement
Jagruti Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@jagrutiarchitects.com,Email,Residential clarity + Concept sheets
Kamat & Rozario Architecture,Panaji,Goa,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,Not Public,Direct Contact,Material articulation + Spatial sequencing
Khosla Design Studio,Jaipur,Rajasthan,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@khosladesignstudio.in,Email,Concept diagrams + Clean layout
Kiran Nadar Design Studio,New Delhi,Delhi,India,Interior,Small,Interior/Institutional,Interior-Focused,No,Yes,Not Public,info@kirannadar.in,Email,Interior detailing + Exhibition spaces
Kreative House,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@kreativehouse.in,Email,Residential clarity + Section depth
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Architects Studio,Mumbai,Maharashtra,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,https://www.architectsstudio.co.in,info@architectsstudio.co.in,Email,Institutional campus + Structured documentation
Architecture Paradigm (Chennai Office),Chennai,Tamil Nadu,India,Corporate,Large,Commercial/IT,Technical,Yes,Yes,https://www.architectureparadigm.com,careers@architectureparadigm.com,Careers Page,IT campus + BIM workflow
Atelier Design N Domain,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@atelierdnd.com,Email,Residential clarity + Section refinement
Bhoomi Consultants (Surat),Surat,Gujarat,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@bhoomiconsultants.com,Email,Commercial complex + Working drawings
Bimal Desai Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Selective,Not Public,Not Public,Direct Contact,Residential form exploration + Spatial sequencing
Blue Ribbon Architects,New Delhi,Delhi,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@blueribbonarchitects.in,Email,Institutional planning + Technical sheets
Cadence Studio (Mumbai),Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@cadencestudio.in,Email,Interior detailing + Residential layout
Center for Green Building Materials & Technology (CGBMT),Bengaluru,Karnataka,India,Sustainable,Mid,Sustainable Research,Environmental,Partial,Yes,https://www.cgbmt.in,info@cgbmt.in,Email,Material research + Climate response
Chirag Shah & Associates,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@chiragshaharchitect.com,Email,Residential clarity + Section depth
Concept Architectural Services,Pune,Maharashtra,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@conceptarchitectural.in,Email,Institutional campus + Documentation clarity
Conarch Architects,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@conarcharchitects.com,Email,Commercial complex + Working drawings
Design Dialogue,Ahmedabad,Gujarat,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@designdialogue.in,Email,Urban housing + Concept diagrams
Design Habitat Architects,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@designhabitat.in,Email,Residential clarity + Clean documentation
Designex Architects,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@designexarchitects.com,Email,Institutional project + Technical workflow
DPA Consultants,Bengaluru,Karnataka,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,Not Public,info@dpaconsultants.in,Email,Infrastructure sheets + BIM clarity
Earthitects,Thiruvananthapuram,Kerala,India,Sustainable,Small,Residential/Sustainable,Environmental,No,Yes,Not Public,info@earthitects.in,Email,Climate-responsive housing + Passive systems
Envirotecture Design Studio,Pune,Maharashtra,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@envirotecture.in,Email,Environmental diagrams + Material logic
EssTeam Architects,Bengaluru,Karnataka,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@essteamarchitects.com,Email,Residential complex + Structured sheets
Fab Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@fabstudio.in,Email,Interior detailing + Section refinement
Form & Space Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@formandspace.in,Email,Residential clarity + Spatial sequencing
Genesis Planners,Mumbai,Maharashtra,India,Urban,Mid,Urban Planning,Urban+Technical,Partial,Yes,Not Public,info@genesisplanners.in,Email,Urban masterplan + GIS sheets
Green Evolution Architects,New Delhi,Delhi,India,Sustainable,Small,Institutional/Sustainable,Environmental,No,Yes,Not Public,info@greenevolution.in,Email,Sustainable campus + Climate diagrams
Habitat Designers,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@habitatdesigners.in,Email,Residential clarity + Detail articulation
Horizon Design Studio,Jaipur,Rajasthan,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@horizondesignstudio.in,Email,Concept diagrams + Clean layout
IDEA Design Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@ideadesignstudio.in,Email,Residential layout + Section depth
Integrated Design Consortium (IDC),Chennai,Tamil Nadu,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.idcarchitects.com,careers@idcarchitects.com,Careers Page,Commercial campus + BIM workflow
Jasmeen Kaur Architects,Chandigarh,Chandigarh,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@jasmeenarchitects.in,Email,Residential clarity + Concept sheets
Karmarkar Architects,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@karmarkararchitects.in,Email,Residential detailing + Section refinement
KNA Associates,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@knaassociates.in,Email,Institutional project + Structured sheets
Krushna Design Studio,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@krushnadesign.in,Email,Residential clarity + Clean documentation
Laxmi Associates Architects,Surat,Gujarat,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@laxmiassociates.in,Email,Commercial complex + Working drawings
Living Space Architects,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@livingspacearchitects.in,Email,Residential clarity + Section quality
Lotus Designs Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@lotusdesignsstudio.in,Email,Interior detailing + Residential layout
Maya Architects,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@mayaarchitects.in,Email,Concept diagrams + Spatial sequencing
Mitra & Associates Architects,Kolkata,West Bengal,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@mitraassociates.com,Email,Institutional planning + Technical workflow
Neo Modern Architects,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@neomodern.in,Email,Commercial campus + Documentation clarity
Nirman Consultants,Pune,Maharashtra,India,Corporate,Mid,Infrastructure/Institutional,Technical,Yes,Yes,Not Public,info@nirmanconsultants.in,Email,Infrastructure sheets + Structured layout
Origin Architects,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@originarchitects.in,Email,Residential clarity + Section refinement
Panchshil Design Studio,Pune,Maharashtra,India,Corporate,Large,Commercial/Mixed-use,Technical,Yes,Yes,Not Public,careers@panchshil.com,Careers Page,Mixed-use campus + BIM documentation
Parametric Design Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@parametricdesign.in,Email,Urban housing + Concept diagrams
Pragati Architects,Ahmedabad,Gujarat,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@pragatiarchitects.in,Email,Institutional campus + Working drawings
Prime Architects,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@primearchitects.in,Email,Commercial complex + Documentation discipline
RDC Architects,Chennai,Tamil Nadu,India,Corporate,Mid,Institutional/Healthcare,Technical,Yes,Yes,Not Public,info@rdcarchitects.in,Email,Healthcare project + BIM sheets
S3 Design Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@s3designstudio.in,Email,Interior detailing + Section clarity
Shreya Designs,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@shreyadesigns.in,Email,Residential clarity + Detail articulation
Sky Architects,Bengaluru,Karnataka,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@skyarchitects.in,Email,Residential tower + Working drawings
Sparrow Architects,Jaipur,Rajasthan,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@sparrowarchitects.in,Email,Concept diagrams + Section refinement
Studio 360,New Delhi,Delhi,India,Boutique,Small,Residential/Urban,Design-Led,No,Yes,Not Public,info@studio360.in,Email,Urban housing + Clean documentation
Studio Horizon,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@studiohorizon.in,Email,Residential clarity + Spatial sequencing
Studio Infinity,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@studioinfinity.in,Email,Residential clarity + Section depth
Urban Axis Planners,Ahmedabad,Gujarat,India,Urban,Mid,Urban Planning,Urban+Technical,Partial,Yes,Not Public,info@urbanaxis.in,Email,Urban masterplan + Analytical diagrams
Vertex Architects,Pune,Maharashtra,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@vertexarchitects.in,Email,Institutional planning + Technical sheets
Vismay Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@vismayarchitects.in,Email,Residential clarity + Section refinementFirm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Abraham John Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,https://www.abrahamjohnarchitects.com,info@abrahamjohnarchitects.com,Email,High-end residential + Spatial sequencing
Aangan Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@aanganarchitects.in,Email,Residential clarity + Section refinement
Aashray Design Consultants,Jaipur,Rajasthan,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@aashraydesign.com,Email,Institutional campus + Working drawings
Aarambh Architects,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@aarambharchitects.in,Email,Residential layout + Clean documentation
Aashiyana Architects,Lucknow,Uttar Pradesh,India,Corporate,Mid,Residential/Commercial,Technical,Yes,Yes,Not Public,info@aashiyanaarchitects.in,Email,Residential complex + Structured sheets
Abodh Design Studio,Indore,Madhya Pradesh,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@abodhdesign.com,Email,Interior detailing + Residential clarity
Acumen Architects,Bengaluru,Karnataka,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@acumenarchitects.in,Email,Institutional planning + Technical documentation
Adroit Architects,Chennai,Tamil Nadu,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@adroitarchitects.in,Email,Commercial complex + BIM sheets
Aesthetica Design Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@aesthetica.in,Email,Concept diagrams + Section depth
Agrawal & Agrawal Architects,Bhopal,Madhya Pradesh,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@agrawalarchitects.in,Email,Institutional campus + Working drawings
Alacrity Architects,Hyderabad,Telangana,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@alacrityarchitects.in,Email,Residential clarity + Detail articulation
Alpine Design Studio,Dehradun,Uttarakhand,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@alpinedesign.in,Email,Residential + Hill context response
Amalgam Architects,Chandigarh,Chandigarh,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@amalgamarchitects.in,Email,Commercial campus + Structured sheets
Anant Design Studio,Surat,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@anantdesign.in,Email,Residential clarity + Section refinement
Anirudh Associates,New Delhi,Delhi,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@anirudhassociates.in,Email,Institutional planning + Documentation clarity
Antrix Architects,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@antrixarchitects.in,Email,Residential tower + Working drawings
ArchiSphere Consultants,Ahmedabad,Gujarat,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@archisphere.in,Email,Institutional campus + Technical sheets
Architronix Design Studio,Bengaluru,Karnataka,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@architronix.in,Email,Concept diagrams + Residential clarity
Archon Architects,Pune,Maharashtra,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@archonarchitects.in,Email,Commercial complex + Structured workflow
Artha Design Studio,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@arthadesign.in,Email,Residential layout + Clean documentation
Arunima Architects,Kolkata,West Bengal,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@arunimaarchitects.in,Email,Residential clarity + Section refinement
Ashray Architects,Rajkot,Gujarat,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@ashrayarchitects.in,Email,Commercial complex + Documentation discipline
Aspire Architects,Nagpur,Maharashtra,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@aspirearchitects.in,Email,Institutional planning + Working drawings
Atelier 11 Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@atelier11.in,Email,Residential clarity + Detail articulation
Aura Architects,Jaipur,Rajasthan,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@auraarchitects.in,Email,Urban housing + Concept diagrams
Axiom Design Studio,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@axiomdesign.in,Email,Residential + Section depth
Axis Habitat Designers,Hyderabad,Telangana,India,Corporate,Mid,Residential/Commercial,Technical,Yes,Yes,Not Public,info@axishabitat.in,Email,Residential complex + Technical sheets
Blueprint Studio,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@blueprintstudio.in,Email,Concept diagrams + Clean layout
Brickstone Architects,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@brickstonearchitects.in,Email,Institutional project + Documentation clarity
BuildCraft Studio,Pune,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@buildcraft.in,Email,Residential clarity + Section refinement
Calyx Design Studio,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@calyxdesign.in,Email,Residential + Detail articulation
Caspian Architects,Hyderabad,Telangana,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@caspianarchitects.in,Email,Commercial campus + Working drawings
Catalyst Architects,Bengaluru,Karnataka,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@catalystarchitects.in,Email,Institutional planning + BIM sheets
Centroid Architects,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@centroidarchitects.in,Email,Residential tower + Documentation workflow
CitiSpace Architects,Chennai,Tamil Nadu,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@citispace.in,Email,Institutional campus + Structured layout
Concept Grid Architects,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@conceptgrid.in,Email,Residential clarity + Section refinement
